1,Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
59,SURAT,30,28,28,NR,110,110,100,110,40,NR,155,165,NR,NR,147,NR,50,465,22,36,30,30
60,BHUJ,30,35,37,75,130,135,90,100,49,52,208,200,197,200,197,185,56,292,18,19,27,30
61,SELAMBA,46,33,37,78,107,108,108,107,38,57,177,163,140,150,180,140,45,370,14,26,19,35
62,WAGHAI,25,30,32,55,90,92,95,92,39,47,181,188,164,168,194,155,40,450,9,17,18,NR
63,BODELI,36,29,30,66,108,88,85,90,40,54,193,193,181,176,183,174,42,287,13,26,25,42
64,VAPI,35,28,35,85,110,110,120,80,39,60,167,157,153,163,167,133,49,260,11,22,28,33
65,BHOPAL,31,30,33,65,95,97,96,93,41,54,171,198,165,140,163,103,44,233,15,25,15,25
66,INDORE,35,25,30,67,97,97,94,94,41,57,172,184,144,145,157,125,46,258,17,21,17,31
67,GWALIOR,29,26,36,65,108,85,90,79,42,63,190,169,158,150,178,NR,41,230,23,18,24,26
68,JABALPUR,35,27,33,70,97,96,95,88,42,57,172,154,134,150,166,100,38,290,15,16,14,22
69,REWA,37,20,41,83,102,73,111,85,41,45,180,166,128,156,144,NR,43,387,15,15,27,43
70,SAGAR,44,24,26,61,96,94,95,91,39,65,171,174,137,155,163,130,36,268,19,13,10,18
71,JHABUA,30,28,30,70,115,105,100,100,40,53,185,175,173,141,205,NR,52,277,24,30,26,40
72,HOSHANGABAD,33,27,28,66,91,88,86,70,39,56,185,170,130,146,180,140,38,330,10,25,20,25
73,SHAHDOL,25,29,25,62,95,79,78,92,40,74,182,155,120,140,195,NR,44,180,25,25,20,20
74,UJJAIN,29,29,25,60,92,99,90,101,38,55,168,172,185,142,192,120,42,228,23,30,25,41
75,MORENA,30,22,26,65,100,90,85,85,40,55,180,190,125,130,140,120,35,235,20,20,15,33
76,MUMBAI,35,40,53,77,118,120,121,103,42,50,198,185,193,175,184,153,68,315,25,40,27,31
77,NAGPUR,39,29,39,72,105,108,103,114,40,50,187,204,182,150,192,142,52,273,25,32,23,33
78,PUNE,53,34,46,73,126,118,116,93,42,54,209,161,137,144,166,141,37,306,24,26,17,23
79,NASHIK,33,35,33,72,110,103,101,98,38,50,179,217,173,137,181,141,52,303,24,27,22,43
80,MANGAON-RAIGAD,30,33,48,72,106,116,100,106,41,58,180,173,162,146,172,134,53,302,20,29,28,42
81,DHARNI,32,30,30,70,110,104,96,94,40,40,185,188,177,144,174,NR,39,300,8,20,25,40
82,LATUR,52,32,31,64,105,105,95,98,37,58,183,163,117,133,164,132,33,157,25,29,14,18
83,JAIPUR,39,27,28,65,112,102,92,89,41,46,203,175,140,155,192,NR,41,270,17,22,25,30
84,JODHPUR,34,29,32,63,113,103,88,90,41,35,198,180,NR,NR,185,NR,48,315,18,24,21,35
85,KOTA,35,25,28,95,87,85,93,87,42,48,196,183,161,175,175,NR,47,231,21,27,21,47
86,UDAIPUR,28,26,27,78,110,96,94,93,40,42,196,188,128,195,NR,121,57,247,22,25,20,40
87,BHARATPUR,30,26,30,70,110,120,102,100,40,58,200,150,140,140,NR,NR,45,295,22,23,25,30
88,AJMER,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
89,BIKANER,46,41,42,77,127,121,118,119,44,45,184,181,152,182,229,156,47,268,24,33,37,50
90,EAST ZONE,,,,,,,,,,,,,,,,,,,,,,
91,PATNA,36,22,35,71,112,102,100,92,44,50,NR,160,133,155,200,156,48,290,22,24,22,60
92,BHAGALPUR,38,26,36,69,103,101,97,91,45,52,NR,176,172,176,204,153,45,286,14,29,23,38
93,PURNIA,36,29,32,64,104,99,94,87,44,49,NR,157,132,146,NR,126,43,324,13,22,20,54
94,DARBHANGA,38,27,30,66,96,100,100,90,42,46,NR,165,160,155,NR,132,40,195,15,20,22,40
95,GAYA,34,24,29,75,104,105,100,96,44,45,NR,195,150,178,195,132,44,400,22,20,24,40
96,MUZZAFARPUR,35,23,29,67,106,103,100,88,40,51,NR,161,169,151,219,131,54,317,23,22,21,39
97,SARAN,38,26,30,69,109,99,99,89,43,56,NR,159,168,153,NR,134,47,233,23,19,22,35
98,MUNGER,37,29,35,70,105,105,103,90,40,48,NR,162,167,163,225,NR,45,317,24,21,20,34
99,SAHARSA,51,22,29,66,110,98,96,84,42,46,NR,180,161,163,NR,NR,60,128,19,19,20,51
100,MADHUBANI,32,21,40,64,93,99,99,94,43,48,183,162,162,168,178,156,52,277,12,21,21,46
101,ROHTAS (SASARAM),26,30,34,65,109,98,94,87,46,59,208,159,145,145,197,130,47,225,25,22,25,33
102,MOTIHARI,36,24,27,63,95,95,95,84,42,50,155,169,134,152,154,124,43,284,17,18,22,37
103,SAMASTIPUR,34,24,27,64,110,92,96,84,42,56,195,152,118,138,195,135,46,260,24,17,19,47
104,KATIHAR,38,24,32,72,103,102,98,96,44,48,NR,174,162,156,178,NR,40,345,18,26,24,38
105,ARARIA,29,25,29,66,99,100,100,100,41,50,NR,165,163,151,198,157,43,337,21,21,19,39
106,NAWADA,42,26,29,66,104,100,97,93,43,53,NR,188,143,161,NR,139,43,248,21,21,34,40
107,KHAGARIA,42,24,30,66,98,98,95,85,43,42,242,164,128,152,158,130,41,385,22,21,23,45
108,RANCHI,40,31,34,65,110,92,90,85,42,52,230,156,118,145,182,124,48,240,24,22,20,40
109,GUMLA,32,NR,32,76,98,97,98,98,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
110,SAHIBGANJ,33,20,22,70,100,100,95,85,42,NR,NR,209,NR,NR,NR,NR,50,NR,20,20,16,50
111,BOKARO,28,25,30,65,95,92,95,83,NR,NR,170,162,120,165,185,125,NR,NR,NR,25,25,40
112,LOHARDAGA,34,27,31,66,105,96,91,91,43,52,NR,176,138,166,209,136,42,198,21,22,22,28
113,SIMDEGA,34,NR,36,68,100,94,97,85,42,NR,NR,176,NR,170,NR,171,42,NR,24,23,20,20
114,DHANBAD,33,29,31,76,97,113,102,96,44,55,218,175,134,174,193,119,44,419,18,25,24,46
115,JAMSHEDPUR (EAST SINGBHUM),40,29,30,75,95,98,102,82,41,48,165,187,163,165,170,85,40,215,20,20,50,50
116,GIRIDHI,31,28,29,80,98,100,108,88,41,54,NR,192,132,188,210,178,39,295,15,15,34,NR
117,BHUBANESHWAR,32,35,36,69,115,120,95,104,43,48,NR,172,153,NR,175,128,51,227,24,28,25,34
118,CUTTACK,36,37,36,71,115,96,99,87,43,46,NR,193,124,NR,189,149,50,250,25,25,23,28
119,SAMBALPUR,30,31,32,67,105,91,89,87,43,48,NR,191,133,NR,194,146,43,247,22,25,21,30
120,ROURKELA,30,34,35,67,108,96,95,92,43,50,NR,200,127,162,195,145,46,240,22,26,20,35
121,BERHAMPUR,31,35,36,65,93,96,91,91,43,48,NR,191,150,137,187,150,46,245,21,20,26,30
122,JEYPORE,28,33,34,68,100,100,92,88,42,48,NR,160,120,NR,170,125,45,200,23,25,20,25
123,BALASORE,27,NR,33,71,120,96,100,94,42,48,NR,185,NR,NR,177,125,52,240,24,25,23,28
124,BARIPADA,32,37,35,70,110,95,90,88,44,48,182,165,123,180,175,125,55,230,24,25,20,30
125,BALANGIR,38,35,40,72,105,101,96,92,39,48,NR,175,108,176,175,128,46,NR,24,25,22,20
126,KOLKATA,41,NR,35,73,120,106,107,102,43,48,NR,166,155,153,196,144,64,253,19,30,29,39
127,SILIGURI,36,29,34,79,116,113,112,110,43,49,181,172,136,160,170,121,53,211,16,25,29,52
128,PURULIA,33,NR,33,71,93,96,92,92,42,52,190,162,105,140,145,122,42,288,19,16,27,33
